% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770991815.6638 0.000 0.000 0.0000 2.9756
1770991815.6684 0.000 0.000 0.0000 2.9752
1770991815.6742 0.000 0.000 0.0000 2.9749
1770991815.6785 0.000 0.000 0.0000 2.9748
1770991815.6842 0.000 0.000 0.0000 2.9745
1770991815.6886 0.000 0.000 0.0000 2.9744
1770991815.6944 0.000 0.000 0.0000 2.9743
1770991815.6987 0.000 0.000 0.0000 2.9743
1770991815.7035 0.000 0.000 0.0000 2.9744
1770991815.7090 0.000 0.000 0.0000 2.9745
1770991815.7136 0.000 0.000 0.0000 2.9747
1770991815.7192 0.000 0.000 0.0000 2.9748
1770991815.7236 0.000 0.000 0.0000 2.9752
1770991815.7292 0.000 0.000 0.0000 2.9755
1770991815.7336 0.000 0.000 0.0000 2.9760
1770991815.7390 0.000 0.000 0.0000 2.9764
1770991815.7437 0.000 0.000 0.0000 2.9771
1770991815.7490 0.000 0.000 0.0000 2.9776
1770991815.7537 0.000 0.000 0.0000 2.9784
1770991815.7590 0.000 0.000 0.0000 2.9790
1770991815.7635 0.000 0.000 0.0000 2.9800
1770991815.7692 0.000 0.000 0.0000 2.9806
1770991815.7737 0.000 0.000 0.0000 2.9814
1770991815.7792 0.000 0.000 0.0000 2.9818
1770991815.7837 0.000 0.000 0.0000 2.9825
1770991815.7892 0.000 0.000 0.0000 2.9830
1770991815.7937 0.000 0.000 0.0000 2.9838
1770991815.7991 0.000 0.000 0.0000 2.9844
1770991815.8038 0.000 0.000 0.0000 2.9853
1770991815.8092 0.000 0.000 0.0000 2.9859
1770991815.8148 0.000 0.000 0.0000 2.9868
1770991815.8193 0.000 0.000 0.0000 2.9875
1770991815.8249 0.000 0.000 0.0000 2.9884
1770991815.8293 0.000 0.000 0.0000 2.9890
1770991815.8348 0.000 0.000 0.0000 2.9899
1770991815.8394 0.000 0.000 0.0000 2.9905
1770991815.8439 0.000 0.000 0.0000 2.9913
1770991815.8495 0.000 0.000 0.0000 2.9918
1770991815.8549 0.000 0.000 0.0000 2.9924
1770991815.8593 0.000 0.000 0.0000 2.9927
1770991815.8639 0.000 0.000 0.0000 2.9932
1770991815.8695 0.000 0.000 0.0000 2.9935
1770991815.8741 0.000 0.000 0.0000 2.9939
1770991815.8795 0.000 0.000 0.0000 2.9942
1770991815.8839 0.000 0.000 0.0000 2.9945
1770991815.8895 0.000 0.000 0.0000 2.9948
1770991815.8939 0.000 0.000 0.0000 2.9952
1770991815.8996 0.000 0.000 0.0000 2.9954
1770991815.9041 0.000 0.000 0.0000 2.9957
1770991815.9096 0.000 0.000 0.0000 2.9958
1770991815.9140 0.000 0.000 0.0000 2.9960
1770991815.9196 0.000 0.000 0.0000 2.9960
1770991815.9241 0.000 0.000 0.0000 2.9959
1770991815.9296 0.000 0.000 0.0000 2.9958
1770991815.9342 0.000 0.000 0.0000 2.9955
1770991815.9397 0.000 0.000 0.0000 2.9952
1770991815.9443 0.000 0.000 0.0000 2.9947
1770991815.9498 0.000 0.000 0.0000 2.9944
1770991815.9545 0.000 0.000 0.0000 2.9937
1770991815.9591 0.000 0.000 0.0000 2.9933
1770991815.9646 0.000 0.000 0.0000 2.9926
1770991815.9695 0.000 0.000 0.0000 2.9921
1770991815.9739 0.000 0.000 0.0000 2.9914
1770991815.9794 0.000 0.000 0.0000 2.9910
1770991815.9841 0.000 0.000 0.0000 2.9904
1770991815.9894 0.000 0.000 0.0000 2.9900
1770991815.9941 0.000 0.000 0.0000 2.9895
1770991815.9996 0.000 0.000 0.0000 2.9891
1770991816.0041 0.000 0.000 0.0000 2.9887
1770991816.0096 0.000 0.000 0.0000 2.9884
1770991816.0140 0.000 0.000 0.0000 2.9881
1770991816.0197 0.000 0.000 0.0000 2.9879
1770991816.0242 0.000 0.000 0.0000 2.9877
1770991816.0297 0.000 0.000 0.0000 2.9876
1770991816.0343 0.000 0.000 0.0000 2.9875
1770991816.0397 0.000 0.000 0.0000 2.9874
1770991816.0443 0.000 0.000 0.0000 2.9873
1770991816.0498 0.000 0.000 0.0000 2.9872
1770991816.0543 0.000 0.000 0.0000 2.9871
1770991816.0598 0.000 0.000 0.0000 2.9869
1770991816.0644 0.000 0.000 0.0000 2.9867
1770991816.0700 0.000 0.000 0.0000 2.9866
1770991816.0745 0.000 0.000 0.0000 2.9863
1770991816.0791 0.000 0.000 0.0000 2.9861
1770991816.0845 0.000 0.000 0.0000 2.9858
1770991816.0892 0.000 0.000 0.0000 2.9856
1770991816.0949 0.000 0.000 0.0000 2.9854
1770991816.0994 0.000 0.000 0.0000 2.9852
1770991816.1050 0.000 0.000 0.0000 2.9851
1770991816.1093 0.000 0.000 0.0000 2.9850
1770991816.1150 0.000 0.000 0.0000 2.9849
1770991816.1195 0.000 0.000 0.0000 2.9849
1770991816.1240 0.000 0.000 0.0000 2.9850
1770991816.1296 0.000 0.000 0.0000 2.9851
1770991816.1341 0.000 0.000 0.0000 2.9853
1770991816.1398 0.000 0.000 0.0000 2.9855
1770991816.1445 0.000 0.000 0.0000 2.9859
1770991816.1500 0.000 0.000 0.0000 2.9862
1770991816.1545 0.000 0.000 0.0000 2.9868
1770991816.1600 0.000 0.000 0.0000 2.9872
1770991816.1646 0.000 0.000 0.0000 2.9879
1770991816.1691 0.000 0.000 0.0000 2.9885
1770991816.1747 0.000 0.000 0.0000 2.9894
1770991816.1791 0.000 0.000 0.0000 2.9901
1770991816.1847 0.000 0.000 0.0000 2.9913
1770991816.1891 0.000 0.000 0.0000 2.9921
1770991816.1947 0.000 0.000 0.0000 2.9933
1770991816.1994 0.000 0.000 0.0000 2.9942
1770991816.2048 0.000 0.000 0.0000 2.9956
1770991816.2094 0.000 0.000 0.0000 2.9965
1770991816.2149 0.000 0.000 0.0000 2.9979
1770991816.2194 0.000 0.000 0.0000 2.9988
1770991816.2251 0.000 0.000 0.0000 3.0002
1770991816.2294 0.000 0.000 0.0000 3.0011
1770991816.2343 0.000 0.000 0.0000 3.0024
1770991816.2397 0.000 0.000 0.0000 3.0033
1770991816.2442 0.000 0.000 0.0000 3.0044
1770991816.2497 0.000 0.000 0.0000 3.0052
1770991816.2541 0.000 0.000 0.0000 3.0063
1770991816.2596 0.000 0.000 0.0000 3.0069
1770991816.2642 0.000 0.000 0.0000 3.0078
1770991816.2699 0.000 0.000 0.0000 3.0084
1770991816.2744 0.000 0.000 0.0000 3.0091
1770991816.2798 0.000 0.000 0.0000 3.0096
1770991816.2843 0.000 0.000 0.0000 3.0101
1770991816.2898 0.000 0.000 0.0000 3.0104
1770991816.2944 0.000 0.000 0.0000 3.0108
1770991816.2999 0.000 0.000 0.0000 3.0110
1770991816.3045 0.000 0.000 0.0000 3.0112
1770991816.3099 0.000 0.000 0.0000 3.0113
1770991816.3143 0.000 0.000 0.0000 3.0113
1770991816.3201 0.000 0.000 0.0000 3.0114
1770991816.3244 0.000 0.000 0.0000 3.0113
1770991816.3301 0.000 0.000 0.0000 3.0113
1770991816.3345 0.000 0.000 0.0000 3.0112
1770991816.3399 0.000 0.000 0.0000 3.0111
1770991816.3446 0.000 0.000 0.0000 3.0110
